t,E_soc_kWh,P_batt_kW,F_fr_kW,d_grid_kW,cost_e_usd,rev_fr_usd,net_cost_usd,L_kW,pi_e_per_kWh,pi_f_per_kW,alpha
361,138.609,-0.0,1000.0,9627.391,-2.062491,5.52,-7.582491,9666.0,0.05342,0.00552,-0.038609
362,100.0,-0.0,1000.0,9641.3899,2.868644,5.52,-2.651356,9586.0,0.05179,0.00552,0.05539
363,155.3899,12.4081,987.5919,9717.8509,12.666238,5.451507,7.214731,9472.0,0.05152,0.00552,0.261504
364,401.2408,-12.4081,987.5919,9418.114,-1.2779,5.451507,-6.729408,9442.0,0.0535,0.00552,-0.03675
365,377.3548,-0.0,1000.0,11190.9354,-3.117756,5.52,-8.637756,11246.0,0.05662,0.00552,-0.055065
366,322.2903,149.4358,850.5642,10080.6533,5.99189,7.816685,-1.824795,9988.0,0.06467,0.00919,0.284622
367,414.9436,150.7082,849.2918,9929.6518,-8.391565,12.136379,-20.527945,10038.0,0.07745,0.01429,0.049877
368,306.5954,-0.0,1000.0,10034.5127,-10.523359,15.03,-25.553359,10178.0,0.07334,0.01503,-0.143487
369,163.1081,-0.0,1000.0,10082.8919,-4.046492,9.05,-13.096492,10146.0,0.06412,0.00905,-0.063108
370,100.0,130.0431,869.9569,12150.3882,-0.526726,5.44593,-5.972656,12160.0,0.0548,0.00626,0.138434
371,90.3882,96.1179,903.8821,10706.0,0.0,5.468487,-5.468487,10706.0,0.04884,0.00605,0.106339
372,90.3882,271.5229,728.4771,10553.562,-0.020927,4.407286,-4.428213,10554.0,0.04778,0.00605,0.372126
373,89.9502,100.4977,899.5023,10826.0995,14.999864,6.044655,8.955209,10506.0,0.04686,0.00672,0.467589
374,410.0498,333.7273,666.2727,10647.323,1.099444,4.03095,-2.931506,10624.0,0.04714,0.00605,0.535892
375,433.3727,343.1389,656.8611,11058.9412,0.045938,3.97401,-3.928072,11058.0,0.04881,0.00605,0.523825
376,434.3139,468.4731,531.5269,11710.5334,0.780706,7.207505,-6.426799,11698.0,0.06229,0.01356,0.904952
377,446.8473,577.1209,422.8791,10536.8062,-26.497911,9.963031,-36.460942,10846.0,0.0857,0.02356,0.633579
378,137.6535,77.1209,922.8791,10412.6344,-3.519461,13.843186,-17.362647,10458.0,0.07758,0.015,0.034409
379,92.2879,280.2258,719.7742,10214.3835,-0.520892,5.743798,-6.26469,10222.0,0.06839,0.00798,0.378743
380,84.6714,153.2859,846.7141,10233.9703,0.121095,5.164956,-5.043861,10232.0,0.06146,0.0061,0.183363
381,86.6417,133.5828,866.4172,12016.1323,0.361437,5.241824,-4.880387,12010.0,0.05894,0.00605,0.161256
382,92.774,72.2598,927.7402,10313.226,16.85749,5.612828,11.244662,10006.0,0.05487,0.00605,0.409043
383,400.0,-0.0,1000.0,10052.2853,-2.486422,5.52,-8.006422,10098.0,0.05439,0.00552,-0.045715
384,354.2853,-39.2744,960.7256,9561.7873,-13.334106,5.303205,-18.637311,9820.0,0.05164,0.00552,-0.309648
385,96.0726,-349.3255,650.6745,9506.9949,-1.51615,3.591723,-5.107873,9538.0,0.0489,0.00552,-0.584517
386,65.0675,-603.6403,396.3597,9888.6329,16.419616,2.187906,14.231711,9528.0,0.04553,0.00552,-0.613098
387,425.7004,-257.0036,742.9964,11161.219,-0.581921,4.10134,-4.683261,11174.0,0.04553,0.00552,-0.363104
388,412.9193,-129.1932,870.8068,9742.471,-0.356573,4.806854,-5.163427,9750.0,0.04736,0.00552,-0.157006
389,405.3903,-53.9033,946.0967,9600.0,0.0,5.222454,-5.222454,9600.0,0.05,0.00552,-0.056974
390,405.3903,-274.9363,725.0637,9848.5978,1.134283,7.069371,-5.935088,9830.0,0.06099,0.00975,-0.353539
391,423.9882,-239.8818,760.1182,9576.0236,-26.762861,8.270086,-35.032948,9924.0,0.07691,0.01088,-0.773377
392,76.0118,-355.0211,644.9789,11864.6246,-0.766135,6.449789,-7.215924,11876.0,0.06735,0.01,-0.568075
393,64.6364,-353.636,646.364,10599.162,0.622616,3.910502,-3.287886,10588.0,0.05578,0.00605,-0.529847
394,75.7984,-242.0161,757.9839,10273.41,0.907755,4.585803,-3.678048,10256.0,0.05214,0.00605,-0.29632
395,93.2083,-67.9165,932.0835,10280.7114,0.231143,5.639105,-5.407962,10276.0,0.04906,0.00605,-0.067811
396,97.9198,-20.8022,979.1978,10506.7827,0.038022,5.924147,-5.886125,10506.0,0.04858,0.00605,-0.020445
397,98.7025,12.9755,987.0245,12622.9493,6.498243,5.971498,0.526745,12486.0,0.04745,0.00605,0.151896
398,235.6517,-0.0,1000.0,11226.3483,7.821334,6.05,1.771334,11062.0,0.04759,0.00605,0.164348
399,400.0,191.5095,808.4905,10668.4275,0.127077,4.891367,-4.76429,10666.0,0.05235,0.00605,0.239875
400,402.4275,24.2745,975.7255,10868.0,0.0,5.903139,-5.903139,10868.0,0.05826,0.00605,0.024878
401,402.4275,164.8804,835.1196,10603.7026,-12.56029,11.307519,-23.86781,10786.0,0.0689,0.01354,-0.020856
402,220.1301,159.3049,840.6951,10471.9394,-8.590863,6.977769,-15.568632,10608.0,0.06314,0.0083,0.027649
403,84.0695,159.3049,840.6951,12463.8875,0.57298,5.086205,-4.513225,12454.0,0.05795,0.00605,0.201253
404,93.957,60.43,939.57,10546.0,0.0,6.57699,-6.57699,10546.0,0.05332,0.007,0.064317
405,93.957,121.564,878.436,10989.5282,1.119036,6.149052,-5.030016,10968.0,0.05198,0.007,0.162894
406,115.4852,-0.0,1000.0,10439.6862,3.188768,6.05,-2.861232,10376.0,0.05007,0.00605,0.063686
407,179.1714,-0.0,1000.0,10237.9054,1.028019,5.27,-4.241981,10216.0,0.04693,0.00527,0.021905
408,201.0768,-0.0,1000.0,10290.9232,9.051007,5.52,3.531007,10092.0,0.0455,0.00552,0.198923
409,400.0,-0.0,1000.0,11404.7191,-12.609753,5.52,-18.129753,11694.0,0.04359,0.00552,-0.289281
410,110.7191,-306.7471,693.2529,10144.6062,-1.755927,3.826756,-5.582683,10186.0,0.04242,0.00552,-0.502185
411,69.3253,-636.2011,363.7989,10586.5527,15.960378,1.582525,14.377853,10206.0,0.04194,0.00435,-0.702719
412,449.8779,-498.7794,501.2206,9803.5589,-0.103553,2.766738,-2.870291,9806.0,0.04242,0.00552,-1.0
413,447.4368,-474.368,525.632,9881.7697,-0.627556,2.901489,-3.529045,9896.0,0.0441,0.00552,-0.929544
414,433.2065,-332.065,667.935,10118.5346,-1.210578,10.620167,-11.830745,10142.0,0.05159,0.0159,-0.532283
415,409.7411,-97.4114,902.5886,12030.5177,-19.220053,8.655825,-27.875879,12350.0,0.06016,0.00959,-0.461887
416,90.2589,-239.0146,760.9854,11010.5113,0.459097,4.459374,-4.000278,11002.0,0.05394,0.00586,-0.302901
417,98.7701,12.2988,987.7012,10920.0,0.0,5.975592,-5.975592,10920.0,0.05018,0.00605,0.012452
418,98.7701,244.0502,755.9498,10849.8157,-0.744803,5.004388,-5.74919,10866.0,0.04602,0.00662,0.30143
419,82.5858,174.1421,825.8579,10956.0,0.0,4.129289,-4.129289,10956.0,0.04406,0.005,0.210862
420,82.5858,307.7613,692.2387,11165.8549,0.333046,4.014984,-3.681939,11158.0,0.0424,0.0058,0.455935
421,90.4406,95.5936,904.4064,13282.0,9.3728,4.974235,4.398565,13050.0,0.0404,0.0055,0.362219
422,322.4406,8.3184,991.6816,11706.3912,3.261858,5.751753,-2.489895,11628.0,0.04161,0.0058,0.087437
423,400.8318,-66.6796,933.3204,11127.8361,0.257781,5.553257,-5.295475,11122.0,0.04417,0.00595,-0.06519
424,406.668,-275.3234,724.6766,11333.8518,0.198252,4.384293,-4.186042,11330.0,0.05147,0.00605,-0.374611
425,410.5197,-105.1975,894.8025,10980.9605,-19.365102,16.35699,-35.722092,11302.0,0.06032,0.01828,-0.476348
426,89.4803,-300.9974,699.0026,11846.2153,-0.216485,6.256073,-6.472558,11850.0,0.0572,0.00895,-0.436024
427,85.6956,-143.0445,856.9555,12338.3044,0.703493,5.184581,-4.481088,12324.0,0.04918,0.00605,-0.15023
428,100.0,-0.0,1000.0,11431.8972,12.279133,5.8,6.479133,11166.0,0.04618,0.0058,0.265897
429,365.8972,-0.0,1000.0,10771.343,-4.570372,5.78,-10.350372,10876.0,0.04367,0.00578,-0.104657
430,261.2402,-0.0,1000.0,10577.9293,0.328431,5.8,-5.471569,10570.0,0.04142,0.0058,0.007929
431,269.1695,-40.6685,959.3315,10182.7637,-7.14773,5.055677,-12.203407,10356.0,0.04126,0.00527,-0.222973
432,95.9332,-57.5019,942.4981,11972.3167,-0.062082,5.202589,-5.264671,11974.0,0.03688,0.00552,-0.062796
433,94.2498,-69.465,930.535,10348.8037,-0.041524,5.136553,-5.178077,10350.0,0.03471,0.00552,-0.075936
434,93.0535,-527.0801,472.9199,10167.6545,10.506577,2.610518,7.89606,9858.0,0.03393,0.00552,-0.459751
435,402.708,-27.0801,972.9199,9748.299,-3.707893,6.285063,-9.992956,9858.0,0.0338,0.00646,-0.140588
436,293.007,-297.443,702.557,10143.8541,4.428026,3.878115,0.549912,10014.0,0.0341,0.00552,-0.238541
437,422.8612,-228.6117,771.3883,11722.0,0.0,5.206871,-5.206871,11722.0,0.03535,0.00675,-0.296364
438,422.8612,-305.8759,694.1241,10774.2318,-0.49191,10.196683,-10.688593,10786.0,0.0418,0.01469,-0.457619
439,411.093,-110.93,889.07,10611.814,-17.059749,9.459705,-26.519453,10934.0,0.05295,0.01064,-0.487156
440,88.907,-206.6043,793.3957,11569.4106,-0.443729,5.196742,-5.64047,11578.0,0.05166,0.00655,-0.271231
441,80.3176,-196.8241,803.1759,12332.0,0.0,5.260802,-5.260802,12332.0,0.05008,0.00655,-0.245057
442,80.3176,-419.6824,-0.0,12917.6824,19.145911,-0.0,19.145911,12498.0,0.04562,0.00605,-0.111487
443,500.0,-0.0,-0.0,13012.0,0.0,-0.0,0.0,13012.0,0.04633,0.0063,-0.003993
444,500.0,500.0,0.0,14458.0,-23.13,0.0,-23.13,14958.0,0.04626,0.00655,0.287551
445,-0.0,-411.345,-0.0,13603.345,18.424144,-0.0,18.424144,13192.0,0.04479,0.00605,0.14025
446,411.345,-113.4503,886.5497,12724.6568,-3.574222,5.363626,-8.937848,12806.0,0.04394,0.00605,-0.219721
447,330.0018,-0.0,1000.0,12849.9982,3.093221,6.05,-2.956779,12780.0,0.04419,0.00605,0.069998
448,400.0,-0.0,1000.0,12381.5713,-1.085992,8.18,-9.265992,12402.0,0.05316,0.00818,-0.020429
449,379.5713,430.4629,569.5371,14124.4673,-19.577455,6.959744,-26.537199,14424.0,0.06536,0.01222,0.229889
450,80.0386,199.614,800.386,12435.8928,0.324397,7.379559,-7.055162,12430.0,0.05505,0.00922,0.25676
451,85.9314,140.6863,859.3137,11650.0,0.0,7.476029,-7.476029,11650.0,0.04663,0.0087,0.163719
452,85.9314,168.6659,831.3341,11361.202,-0.11536,5.029571,-5.144931,11364.0,0.04123,0.00605,0.19952
453,83.1334,373.8533,626.1467,11158.5998,-0.449055,3.788187,-4.237243,11170.0,0.03939,0.00605,0.578863
454,71.7332,282.6683,717.3317,13054.5337,13.452015,4.339857,9.112159,12698.0,0.03773,0.00605,0.891083
455,428.2668,622.0332,377.9668,10560.3358,-14.117443,2.086377,-16.20382,10924.0,0.03882,0.00552,0.683576
456,64.6027,353.9734,646.0266,10358.0,0.0,3.566067,-3.566067,10358.0,0.02994,0.00552,0.547924
457,64.6027,384.6128,615.3872,10277.9833,0.394189,3.396938,-3.002749,10264.0,0.02819,0.00552,0.647716
458,78.5859,214.1406,785.8594,10105.4141,0.588244,4.172914,-3.584669,10084.0,0.02747,0.00531,0.299741
459,100.0,-0.0,1000.0,10340.0816,7.940893,5.17,2.770893,10042.0,0.02664,0.00517,0.298082
460,398.0816,163.8649,836.1351,11630.3049,0.498627,4.615466,-4.116839,11612.0,0.02724,0.00552,0.217871
461,416.3865,201.1893,798.8107,10438.5049,-0.452148,4.409435,-4.861583,10454.0,0.02918,0.00552,0.232463
462,400.8913,-8.9135,991.0865,10462.0,0.0,9.088263,-9.088263,10462.0,0.03419,0.00917,-0.008994
463,400.8913,-38.1467,961.8533,10383.294,-12.544747,8.52202,-21.066767,10688.0,0.04117,0.00886,-0.35645
464,96.1853,-610.2899,389.7101,11700.376,13.952696,2.572087,11.380609,11372.0,0.04249,0.0066,-0.723394
465,424.5613,-245.6132,754.3868,13792.8774,-15.148432,4.752637,-19.901068,14142.0,0.04339,0.0063,-0.78837
466,75.4387,-613.5025,386.4975,13035.9744,14.541302,2.33831,12.202993,12690.0,0.04203,0.00605,-0.692186
467,421.413,-214.1304,785.8696,12311.4641,-10.302297,4.754511,-15.056808,12556.0,0.04213,0.00605,-0.583642
468,176.8771,-0.0,1000.0,12478.4596,-0.467732,6.3,-6.767732,12490.0,0.04053,0.0063,-0.01154
469,165.3368,-0.0,1000.0,12922.6632,9.438156,6.3,3.138156,12688.0,0.04022,0.0063,0.234663
470,400.0,245.0775,754.9225,14458.0,-11.1112,4.703167,-15.814367,14730.0,0.04085,0.00623,-0.035663
471,128.0,-117.6293,882.3707,12989.5262,7.121692,5.338343,1.783349,12828.0,0.04409,0.00605,0.049749
472,289.5262,-0.0,1000.0,12161.7545,-2.567868,9.84,-12.407868,12214.0,0.04915,0.00984,-0.052246
473,237.2807,-0.0,1000.0,12248.2558,-6.242006,19.12,-25.362006,12350.0,0.06135,0.01912,-0.101744
474,135.5365,-0.0,1000.0,12036.4635,-1.859981,12.19,-14.049981,12072.0,0.05234,0.01219,-0.035537
475,100.0,99.4203,900.5797,13741.2519,-0.033087,7.195632,-7.228719,13742.0,0.04423,0.00799,0.109565
476,99.2519,7.4807,992.5193,11526.0,0.0,6.004742,-6.004742,11526.0,0.04016,0.00605,0.007537
477,99.2519,7.4807,992.5193,11830.4263,8.613336,6.95756,1.655776,11600.0,0.03738,0.00701,0.2397
478,329.6783,-0.0,1000.0,10768.5487,-2.591539,6.05,-8.641539,10840.0,0.03627,0.00605,-0.071451
479,258.227,-0.0,1000.0,10373.8061,-1.851839,5.52,-7.371839,10426.0,0.03548,0.00552,-0.052194
480,206.0331,436.8024,563.1976,11999.0117,-4.853494,3.108851,-7.962345,12136.0,0.03543,0.00552,0.532343
481,69.0448,309.5518,690.4482,10536.0,0.0,3.362483,-3.362483,10536.0,0.03315,0.00487,0.448335
482,69.0448,383.1668,616.8332,10164.7359,0.608168,3.404919,-2.796751,10146.0,0.03246,0.00552,0.651558
483,87.7807,122.1926,877.8074,10410.4385,10.47612,4.845497,5.630623,10086.0,0.03229,0.00552,0.508803
484,412.2193,545.8032,454.1968,9785.5526,-10.203819,2.507167,-12.710986,10100.0,0.03245,0.00552,0.509373
485,97.7718,45.8032,954.1968,10572.8085,10.017297,5.267167,4.750131,10266.0,0.03265,0.00552,0.369538
486,404.5803,203.6887,796.3113,12201.1581,-0.445099,4.594716,-5.039815,12214.0,0.03466,0.00577,0.239664
487,391.7385,-0.0,1000.0,11186.2615,0.297994,9.2,-8.902006,11178.0,0.03607,0.0092,0.008262
488,400.0,91.6213,908.3787,11826.0,0.0,7.321532,-7.321532,11826.0,0.0378,0.00806,0.100862
489,400.0,-0.0,1000.0,12022.3087,-4.368248,8.72,-13.088248,12134.0,0.03911,0.00872,-0.111691
490,288.3087,-0.0,1000.0,12478.6602,2.374823,7.74,-5.365177,12416.0,0.0379,0.00774,0.06266
491,350.9689,188.8618,811.1382,12554.9277,1.616226,5.921309,-4.305082,12512.0,0.03765,0.0073,0.285758
492,393.8966,459.4409,540.5591,14458.0,-10.605,2.92983,-13.53483,14758.0,0.03535,0.00542,0.294956
493,93.8966,61.0343,938.9657,13145.5495,2.999446,4.694828,-1.695383,13058.0,0.03426,0.005,0.158242
494,181.4461,-0.0,1000.0,12928.5539,7.415535,5.0,2.415535,12710.0,0.03393,0.005,0.218554
495,400.0,80.2732,919.7268,12598.0273,0.283766,4.929735,-4.64597,12590.0,0.03535,0.00536,0.096007
496,408.0273,223.7028,776.2972,12535.9727,-0.327194,6.986675,-7.313869,12544.0,0.04076,0.009,0.277826
497,400.0,-0.0,1000.0,12149.4601,-10.724985,18.6,-29.324985,12344.0,0.05513,0.0186,-0.19454
498,205.4601,-86.5917,913.4083,13855.8807,-5.973002,9.983552,-15.956555,13970.0,0.05234,0.01093,-0.219739
499,91.3408,-359.0839,640.9161,11982.7508,-1.140924,3.653222,-4.794146,12010.0,0.04187,0.0057,-0.602783
500,64.0916,-444.3296,555.6704,11372.3509,0.412173,3.056187,-2.644014,11362.0,0.03982,0.0055,-0.781
501,74.4425,-255.5749,744.4251,11206.8922,1.632906,4.094338,-2.461433,11164.0,0.03807,0.0055,-0.285701
502,117.3347,-0.0,1000.0,10778.6653,-0.615729,7.0,-7.615729,10796.0,0.03552,0.007,-0.017335
503,100.0,-134.7349,865.2651,12328.5265,-0.503235,4.776263,-5.279498,12342.0,0.03735,0.00552,-0.171287
504,86.5265,-303.0689,696.9311,10643.1666,-0.590347,3.847059,-4.437407,10660.0,0.03507,0.00552,-0.459016
505,69.6931,-551.0705,448.9295,10291.731,3.470838,2.478091,0.992747,10188.0,0.03346,0.00552,-0.996458
506,173.4241,-590.5717,409.4283,10277.6331,7.646294,2.45657,5.189724,10042.0,0.03245,0.006,-0.866913
507,409.0572,-90.5717,909.4283,9851.5382,-0.526778,5.45657,-5.983348,9868.0,0.032,0.006,-0.117693
508,392.5953,-0.0,1000.0,10455.4047,0.23843,6.0,-5.76157,10448.0,0.0322,0.006,0.007405
509,400.0,-75.5628,924.4372,11250.893,-1.095179,5.102893,-6.198072,11284.0,0.03308,0.00552,-0.117552
510,366.893,-21.3961,978.6039,10575.2466,1.147629,5.401894,-4.254264,10540.0,0.03256,0.00552,0.014153
511,402.1396,-21.3961,978.6039,10823.7208,-10.260295,8.093054,-18.35335,11128.0,0.03372,0.00827,-0.332796
512,97.8604,-227.7513,772.2487,11388.4868,-0.526209,4.672105,-5.198313,11404.0,0.03392,0.00605,-0.315008
513,82.3472,-176.5284,823.4716,11784.0,-0.0,4.578502,-4.578502,11784.0,0.03395,0.00556,-0.214371
514,82.3472,-184.1908,815.8092,12047.5733,1.267348,4.079046,-2.811698,12010.0,0.03373,0.005,-0.17972
515,119.9205,60.8043,939.1957,14458.0,-0.81408,4.695978,-5.510058,14482.0,0.03392,0.005,0.039187
516,95.9205,40.7953,959.2047,12115.1248,2.044845,4.796024,-2.751178,12055.0,0.03401,0.005,0.105212
517,156.0453,-0.0,1000.0,12660.9409,7.729439,6.57,1.159439,12435.0,0.03421,0.00657,0.225941
518,381.9862,-0.0,1000.0,12298.0138,0.636607,5.96,-5.323393,12280.0,0.03534,0.00596,0.018014
519,400.0,160.9649,839.0351,12442.0965,0.570781,5.076163,-4.505381,12426.0,0.03546,0.00605,0.21103
520,416.0965,329.5325,670.4675,12664.8568,0.69787,5.068734,-4.370864,12648.0,0.0414,0.00756,0.516638
521,432.9533,376.6808,623.3192,12847.8054,-14.418144,9.973107,-24.391251,13116.0,0.05376,0.016,0.174046
522,164.7586,-0.0,1000.0,11673.2414,-3.070205,12.92,-15.990205,11738.0,0.04741,0.01292,-0.064759
523,100.0,206.9607,793.0393,11179.5747,-0.513537,5.701953,-6.215489,11192.0,0.04133,0.00719,0.245304
524,87.5747,124.2528,875.7472,10836.0,0.0,4.81661,-4.81661,10836.0,0.03706,0.0055,0.141882
525,87.5747,284.6326,715.3674,10760.4253,0.439234,3.934521,-3.495287,10748.0,0.03535,0.0055,0.415252
526,100.0,-0.0,1000.0,12300.0813,7.422199,6.05,1.372199,12086.0,0.03467,0.00605,0.214081
527,314.0813,488.0178,511.9822,10336.0773,-8.208439,2.826142,-11.034581,10578.0,0.03393,0.00552,0.480671
528,72.1586,278.4143,721.5857,9956.5929,0.084969,3.983153,-3.898184,9954.0,0.03277,0.00552,0.38943
529,74.7515,252.4855,747.5145,10426.3096,0.266822,4.485087,-4.218265,10418.0,0.03211,0.006,0.348883
530,83.0611,169.3893,830.6107,9713.8779,10.280099,4.377318,5.902781,9380.0,0.03079,0.00527,0.6059
531,416.9389,338.8437,661.1563,10604.9812,-2.797918,2.83636,-5.634278,10696.0,0.03074,0.00429,0.374836
532,325.9201,-0.0,1000.0,10046.0799,2.323144,4.75,-2.426856,9972.0,0.03136,0.00475,0.07408
533,400.0,-0.0,1000.0,9770.8758,-1.450268,5.52,-6.970268,9814.0,0.03363,0.00552,-0.043124
534,356.8758,20.602,979.398,10181.1844,1.604047,5.533599,-3.929551,10136.0,0.0355,0.00565,0.06717
535,402.0602,-194.0551,805.9449,12095.0354,-1.768854,8.075568,-9.844422,12138.0,0.04117,0.01002,-0.294089
536,359.0956,-0.0,1000.0,10565.6766,-3.43302,7.75,-11.18302,10646.0,0.04274,0.00775,-0.080323
537,278.7722,-0.0,1000.0,10585.2278,-7.553126,8.05,-15.603126,10764.0,0.04225,0.00805,-0.178772
538,100.0,-0.0,1000.0,11192.4396,5.055003,8.05,-2.994997,11074.0,0.04268,0.00805,0.11844
539,218.4396,-207.7289,792.2711,11336.7875,-5.922101,5.696429,-11.61853,11476.0,0.04254,0.00719,-0.437908
