method,sigma_case,sigma,realization,phi,energy,fr_revenue,demand,peak_kW
deterministic,undiscounted,1.0,0,318291.25,-130.01,3498.45,321919.72,16095.99
stochastic,undiscounted,1.0,0,322405.84,-83.58,1523.96,324013.39,16200.67
perfect_info,undiscounted,1.0,0,316386.36,-1279.52,4602.73,322268.61,16113.43
deterministic,undiscounted,1.0,1,342633.53,176.8,3470.26,345926.98,17296.35
stochastic,undiscounted,1.0,1,333004.58,-79.14,1546.21,334629.93,16731.5
perfect_info,undiscounted,1.0,1,324616.15,-1171.92,4560.62,330348.69,16517.43
deterministic,undiscounted,1.0,2,318835.27,71.93,3499.77,322263.11,16113.16
stochastic,undiscounted,1.0,2,320857.82,-143.95,1539.34,322541.11,16127.06
perfect_info,undiscounted,1.0,2,301604.0,-1125.65,4811.45,307541.11,15377.06
deterministic,undiscounted,1.0,3,328761.21,-5.77,3384.88,332151.85,16607.59
stochastic,undiscounted,1.0,3,330951.4,-103.46,1537.02,332591.87,16629.59
perfect_info,undiscounted,1.0,3,318677.43,-1202.21,4615.8,324495.44,16224.77
deterministic,undiscounted,1.0,4,317795.87,117.41,3410.62,321089.08,16054.45
stochastic,undiscounted,1.0,4,319114.53,-12.23,1468.88,320595.64,16029.78
perfect_info,undiscounted,1.0,4,303368.01,-1056.91,4724.23,309149.16,15457.46
deterministic,undiscounted,1.0,5,325444.71,360.83,3602.03,328685.91,16434.3
stochastic,undiscounted,1.0,5,329554.53,-38.38,1584.04,331176.96,16558.85
perfect_info,undiscounted,1.0,5,314743.74,-1299.41,4632.06,320675.21,16033.76
deterministic,undiscounted,1.0,6,309769.54,2.79,3716.84,313483.58,15674.18
stochastic,undiscounted,1.0,6,318068.94,-44.24,1477.7,319590.87,15979.54
perfect_info,undiscounted,1.0,6,299843.62,-1184.38,4949.39,305977.39,15298.87
deterministic,undiscounted,1.0,7,327825.11,187.85,3427.83,331065.09,16553.25
stochastic,undiscounted,1.0,7,323794.37,-75.83,1493.31,325363.5,16268.18
perfect_info,undiscounted,1.0,7,307193.79,-988.89,4871.7,313054.39,15652.72
deterministic,undiscounted,1.0,8,322294.05,196.52,3554.49,325652.02,16282.6
stochastic,undiscounted,1.0,8,317109.92,-80.35,1531.05,318721.32,15936.07
perfect_info,undiscounted,1.0,8,302587.22,-1202.74,4797.94,308587.89,15429.39
deterministic,undiscounted,1.0,9,329121.73,444.3,3518.18,332195.61,16609.78
stochastic,undiscounted,1.0,9,316741.52,21.12,1473.78,318194.18,15909.71
perfect_info,undiscounted,1.0,9,299406.25,-1247.33,4555.23,305208.81,15260.44
deterministic,undiscounted,1.0,10,323762.41,401.44,3513.45,326874.42,16343.72
stochastic,undiscounted,1.0,10,321632.9,-73.1,1481.46,323187.47,16159.37
perfect_info,undiscounted,1.0,10,303533.0,-1175.99,4726.01,309435.01,15471.75
deterministic,undiscounted,1.0,11,317821.97,-74.42,3540.68,321437.08,16071.85
stochastic,undiscounted,1.0,11,311896.82,-147.67,1431.17,313475.67,15673.78
perfect_info,undiscounted,1.0,11,295774.79,-1259.74,4696.1,301730.63,15086.53
deterministic,undiscounted,1.0,12,330436.42,-7.72,3490.86,333935.01,16696.75
stochastic,undiscounted,1.0,12,326246.49,-131.88,1556.64,327935.01,16396.75
perfect_info,undiscounted,1.0,12,310016.35,-1346.15,4572.51,315935.01,15796.75
deterministic,undiscounted,1.0,13,326509.64,139.37,3486.69,329856.96,16492.85
stochastic,undiscounted,1.0,13,324368.34,-137.46,1494.74,326000.53,16300.03
perfect_info,undiscounted,1.0,13,306018.03,-1250.32,4577.9,311846.26,15592.31
deterministic,undiscounted,1.0,14,314652.64,334.66,3546.39,317864.37,15893.22
stochastic,undiscounted,1.0,14,316669.97,54.25,1465.56,318081.28,15904.06
perfect_info,undiscounted,1.0,14,302624.82,-1265.13,4682.74,308572.68,15428.63
deterministic,undiscounted,1.0,15,305122.35,344.19,3348.85,308127.01,15406.35
stochastic,undiscounted,1.0,15,306209.41,34.78,1339.91,307514.54,15375.73
perfect_info,undiscounted,1.0,15,293360.36,-1075.06,4579.9,299015.32,14950.77
deterministic,undiscounted,1.0,16,283889.39,83.38,3597.12,287403.13,14370.16
stochastic,undiscounted,1.0,16,290014.14,-61.56,1313.76,291389.45,14569.47
perfect_info,undiscounted,1.0,16,273759.1,-1231.38,4815.33,279805.82,13990.29
deterministic,undiscounted,1.0,17,299631.7,409.33,3402.56,302624.93,15131.25
stochastic,undiscounted,1.0,17,291142.81,-47.51,1261.77,292452.09,14622.6
perfect_info,undiscounted,1.0,17,278698.69,-1131.89,4594.14,284424.71,14221.24
deterministic,undiscounted,1.0,18,325278.96,208.08,3532.19,328603.07,16430.15
stochastic,undiscounted,1.0,18,324440.97,-12.78,1545.5,325999.25,16299.96
perfect_info,undiscounted,1.0,18,309838.17,-1229.22,4732.19,315799.57,15789.98
deterministic,undiscounted,1.0,19,325848.19,230.75,3422.45,329039.9,16451.99
stochastic,undiscounted,1.0,19,331876.38,-23.93,1573.33,333473.64,16673.68
perfect_info,undiscounted,1.0,19,314773.82,-1012.93,4618.55,320405.29,16020.26
deterministic,undiscounted,1.0,20,321949.5,14.82,3375.51,325310.19,16265.51
stochastic,undiscounted,1.0,20,323580.7,-90.03,1440.43,325111.16,16255.56
perfect_info,undiscounted,1.0,20,310885.04,-1203.91,4533.22,316622.18,15831.11
deterministic,undiscounted,1.0,21,302818.37,-126.85,3592.44,306537.66,15326.88
stochastic,undiscounted,1.0,21,309973.55,-145.9,1378.85,311498.3,15574.92
perfect_info,undiscounted,1.0,21,291985.11,-1266.89,4651.05,297903.06,14895.15
deterministic,undiscounted,1.0,22,334648.36,30.59,3422.41,338040.19,16902.01
stochastic,undiscounted,1.0,22,330030.36,-117.53,1566.96,331714.86,16585.74
perfect_info,undiscounted,1.0,22,314592.3,-1092.01,4636.97,320321.28,16016.06
deterministic,undiscounted,1.0,23,308698.61,118.8,3601.95,312181.75,15609.09
stochastic,undiscounted,1.0,23,312314.72,-68.75,1455.92,313839.39,15691.97
perfect_info,undiscounted,1.0,23,299600.0,-1121.15,4863.28,305584.43,15279.22
deterministic,undiscounted,1.0,24,311544.57,137.62,3491.3,314898.25,15744.91
stochastic,undiscounted,1.0,24,318776.39,-25.04,1424.0,320225.43,16011.27
perfect_info,undiscounted,1.0,24,296995.56,-1149.18,4645.94,302790.67,15139.53
deterministic,undiscounted,1.0,25,327922.79,-108.32,3532.7,331563.81,16578.19
stochastic,undiscounted,1.0,25,327388.7,-127.54,1569.63,329085.86,16454.29
perfect_info,undiscounted,1.0,25,316941.67,-1200.58,4784.23,322926.48,16146.32
deterministic,undiscounted,1.0,26,341846.16,-128.16,3491.8,345466.12,17273.31
stochastic,undiscounted,1.0,26,334490.41,-115.6,1641.81,336247.83,16812.39
perfect_info,undiscounted,1.0,26,321542.05,-1127.29,4796.79,327466.12,16373.31
deterministic,undiscounted,1.0,27,334720.08,68.96,3449.89,338101.0,16905.05
stochastic,undiscounted,1.0,27,327649.0,54.43,1561.59,329156.16,16457.81
perfect_info,undiscounted,1.0,27,314409.33,-1027.71,4653.27,320090.3,16004.52
deterministic,undiscounted,1.0,28,329462.51,119.99,3489.66,332832.18,16641.61
stochastic,undiscounted,1.0,28,335522.73,-59.47,1554.02,337136.22,16856.81
perfect_info,undiscounted,1.0,28,317546.44,-1190.22,4485.9,323222.56,16161.13
deterministic,undiscounted,1.0,29,339643.49,-149.53,3431.65,343224.66,17161.23
stochastic,undiscounted,1.0,29,338184.41,-116.74,1634.66,339935.81,16996.79
perfect_info,undiscounted,1.0,29,322711.59,-1165.41,4643.85,328520.86,16426.04
deterministic,discounted,4.285714285714286,0,318291.25,-130.01,3498.45,321919.72,16095.99
stochastic,discounted,4.285714285714286,0,322389.79,-75.33,1548.26,324013.39,16200.67
perfect_info,discounted,4.285714285714286,0,316386.36,-1279.52,4602.73,322268.61,16113.43
deterministic,discounted,4.285714285714286,1,342633.53,176.8,3470.26,345926.98,17296.35
stochastic,discounted,4.285714285714286,1,332973.34,-88.49,1568.09,334629.93,16731.5
perfect_info,discounted,4.285714285714286,1,324616.15,-1171.92,4560.62,330348.69,16517.43
deterministic,discounted,4.285714285714286,2,318835.27,71.93,3499.77,322263.11,16113.16
stochastic,discounted,4.285714285714286,2,320833.14,-132.92,1575.04,322541.11,16127.06
perfect_info,discounted,4.285714285714286,2,301604.0,-1125.65,4811.45,307541.11,15377.06
deterministic,discounted,4.285714285714286,3,328761.21,-5.77,3384.88,332151.85,16607.59
stochastic,discounted,4.285714285714286,3,330940.03,-87.61,1564.23,332591.87,16629.59
perfect_info,discounted,4.285714285714286,3,318677.43,-1202.21,4615.8,324495.44,16224.77
deterministic,discounted,4.285714285714286,4,317795.87,117.41,3410.62,321089.08,16054.45
stochastic,discounted,4.285714285714286,4,319076.43,-13.39,1505.83,320595.64,16029.78
perfect_info,discounted,4.285714285714286,4,303368.01,-1056.91,4724.23,309149.16,15457.46
deterministic,discounted,4.285714285714286,5,325444.71,360.83,3602.03,328685.91,16434.3
stochastic,discounted,4.285714285714286,5,329523.22,-45.79,1607.94,331176.96,16558.85
perfect_info,discounted,4.285714285714286,5,314743.74,-1299.41,4632.06,320675.21,16033.76
deterministic,discounted,4.285714285714286,6,309769.54,2.79,3716.84,313483.58,15674.18
stochastic,discounted,4.285714285714286,6,316266.45,-56.75,1500.56,317823.77,15891.19
perfect_info,discounted,4.285714285714286,6,299843.62,-1184.38,4949.39,305977.39,15298.87
deterministic,discounted,4.285714285714286,7,327825.11,187.85,3427.83,331065.09,16553.25
stochastic,discounted,4.285714285714286,7,323768.52,-69.82,1525.16,325363.5,16268.18
perfect_info,discounted,4.285714285714286,7,307193.79,-988.89,4871.7,313054.39,15652.72
deterministic,discounted,4.285714285714286,8,322294.05,196.52,3554.49,325652.02,16282.6
stochastic,discounted,4.285714285714286,8,317077.78,-78.8,1571.49,318728.07,15936.4
perfect_info,discounted,4.285714285714286,8,302590.19,-1202.71,4804.71,308597.61,15429.88
deterministic,discounted,4.285714285714286,9,329121.73,444.3,3518.18,332195.61,16609.78
stochastic,discounted,4.285714285714286,9,317492.71,-0.47,1510.04,319003.22,15950.16
perfect_info,discounted,4.285714285714286,9,299406.25,-1247.33,4555.23,305208.81,15260.44
deterministic,discounted,4.285714285714286,10,323762.41,401.44,3513.45,326874.42,16343.72
stochastic,discounted,4.285714285714286,10,321609.25,-67.34,1510.88,323187.47,16159.37
perfect_info,discounted,4.285714285714286,10,303533.0,-1175.99,4726.01,309435.01,15471.75
deterministic,discounted,4.285714285714286,11,317821.97,-74.42,3540.68,321437.08,16071.85
stochastic,discounted,4.285714285714286,11,311856.61,-153.54,1465.52,313475.67,15673.78
perfect_info,discounted,4.285714285714286,11,295774.79,-1259.74,4696.1,301730.63,15086.53
deterministic,discounted,4.285714285714286,12,330436.42,-7.72,3490.86,333935.01,16696.75
stochastic,discounted,4.285714285714286,12,326233.7,-119.73,1581.58,327935.01,16396.75
perfect_info,discounted,4.285714285714286,12,310016.35,-1346.15,4572.51,315935.01,15796.75
deterministic,discounted,4.285714285714286,13,326509.64,139.37,3486.69,329856.96,16492.85
stochastic,discounted,4.285714285714286,13,324346.8,-135.82,1517.91,326000.53,16300.03
perfect_info,discounted,4.285714285714286,13,306018.03,-1250.32,4577.9,311846.26,15592.31
deterministic,discounted,4.285714285714286,14,314652.64,334.66,3546.39,317864.37,15893.22
stochastic,discounted,4.285714285714286,14,316580.66,53.85,1512.5,318039.3,15901.97
perfect_info,discounted,4.285714285714286,14,302624.82,-1265.13,4682.74,308572.68,15428.63
deterministic,discounted,4.285714285714286,15,305122.35,344.19,3348.85,308127.01,15406.35
stochastic,discounted,4.285714285714286,15,306392.12,38.86,1382.54,307735.79,15386.79
perfect_info,discounted,4.285714285714286,15,293360.36,-1075.06,4579.9,299015.32,14950.77
deterministic,discounted,4.285714285714286,16,283889.39,83.38,3597.12,287403.13,14370.16
stochastic,discounted,4.285714285714286,16,290968.38,-52.54,1377.03,292397.96,14619.9
perfect_info,discounted,4.285714285714286,16,273759.1,-1231.38,4815.33,279805.82,13990.29
deterministic,discounted,4.285714285714286,17,299631.7,409.33,3402.56,302624.93,15131.25
stochastic,discounted,4.285714285714286,17,291109.97,-42.28,1299.85,292452.09,14622.6
perfect_info,discounted,4.285714285714286,17,278698.69,-1131.89,4594.14,284424.71,14221.24
deterministic,discounted,4.285714285714286,18,325278.96,208.08,3532.19,328603.07,16430.15
stochastic,discounted,4.285714285714286,18,324410.75,-12.69,1575.82,325999.25,16299.96
perfect_info,discounted,4.285714285714286,18,309838.17,-1229.22,4732.19,315799.57,15789.98
deterministic,discounted,4.285714285714286,19,325848.19,230.75,3422.45,329039.9,16451.99
stochastic,discounted,4.285714285714286,19,331859.1,-16.5,1598.04,333473.64,16673.68
perfect_info,discounted,4.285714285714286,19,314773.82,-1012.93,4618.55,320405.29,16020.26
deterministic,discounted,4.285714285714286,20,321949.5,14.82,3375.51,325310.19,16265.51
stochastic,discounted,4.285714285714286,20,325262.14,-78.79,1476.5,326817.44,16340.87
perfect_info,discounted,4.285714285714286,20,310885.04,-1203.91,4533.22,316622.18,15831.11
deterministic,discounted,4.285714285714286,21,302818.37,-126.85,3592.44,306537.66,15326.88
stochastic,discounted,4.285714285714286,21,310032.25,-139.39,1420.42,311592.07,15579.6
perfect_info,discounted,4.285714285714286,21,291985.11,-1266.89,4651.05,297903.06,14895.15
deterministic,discounted,4.285714285714286,22,334648.36,30.59,3422.41,338040.19,16902.01
stochastic,discounted,4.285714285714286,22,330006.26,-115.44,1593.17,331714.86,16585.74
perfect_info,discounted,4.285714285714286,22,314592.3,-1092.01,4636.97,320321.28,16016.06
deterministic,discounted,4.285714285714286,23,308698.61,118.8,3601.95,312181.75,15609.09
stochastic,discounted,4.285714285714286,23,312293.73,-58.06,1487.61,313839.39,15691.97
perfect_info,discounted,4.285714285714286,23,299600.0,-1121.15,4863.28,305584.43,15279.22
deterministic,discounted,4.285714285714286,24,311544.57,137.62,3491.3,314898.25,15744.91
stochastic,discounted,4.285714285714286,24,318717.66,-46.76,1461.0,320225.43,16011.27
perfect_info,discounted,4.285714285714286,24,296995.56,-1149.18,4645.94,302790.67,15139.53
deterministic,discounted,4.285714285714286,25,327922.79,-108.32,3532.7,331563.81,16578.19
stochastic,discounted,4.285714285714286,25,327344.88,-129.97,1611.02,329085.86,16454.29
perfect_info,discounted,4.285714285714286,25,316941.67,-1200.58,4784.23,322926.48,16146.32
deterministic,discounted,4.285714285714286,26,341846.16,-128.16,3491.8,345466.12,17273.31
stochastic,discounted,4.285714285714286,26,334465.38,-117.3,1665.14,336247.83,16812.39
perfect_info,discounted,4.285714285714286,26,321542.05,-1127.29,4796.79,327466.12,16373.31
deterministic,discounted,4.285714285714286,27,334720.08,68.96,3449.89,338101.0,16905.05
stochastic,discounted,4.285714285714286,27,327618.9,50.69,1587.85,329156.06,16457.8
perfect_info,discounted,4.285714285714286,27,314409.33,-1027.71,4653.27,320090.3,16004.52
deterministic,discounted,4.285714285714286,28,329462.51,119.99,3489.66,332832.18,16641.61
stochastic,discounted,4.285714285714286,28,335365.32,-62.53,1566.06,336993.91,16849.7
perfect_info,discounted,4.285714285714286,28,317546.44,-1190.22,4485.9,323222.56,16161.13
deterministic,discounted,4.285714285714286,29,339643.49,-149.53,3431.65,343224.66,17161.23
stochastic,discounted,4.285714285714286,29,338176.24,-117.27,1642.3,339935.81,16996.79
perfect_info,discounted,4.285714285714286,29,322711.59,-1165.41,4643.85,328520.86,16426.04
